graphname,vertices,edges,MDG,reverseMDG,bestBRKGA,avgBRKGA,BRKGAtime,bestBRKGArev,avgBRKGArev,bestfastBRKGA,avgfastBRKGA,fastBRKGAtime,bestfastBRKGArev,avgfastBRKGArev,bestMMAS,avgMMAS,bestMMASlearn,avgMMASlearn,bestVND_ILS,avgVND_ILS
Dolphins,62,159,8,7,6,6.0,0.01,6,6.0,6,6.0,0.01,6,6.0,6,6.0,6,6.0,6,6.0
Football,115,613,31,28,22,23.4,10.2,22,23.4,22,23.5,21.3,22,23.5,23,23.0,22,23.0,23,24.0
Karate,34,78,3,3,3,3.0,0.01,3,3.0,3,3.0,0.01,3,3.0,3,3.0,3,3.0,3,3.0
Jazz,198,2742,29,24,20,21.1,12.3,20,21.1,20,21.1,5.8,20,21.1,20,20.0,20,20.0,22,24.4
CA-GrQc,5242,14484,1031,889,928,930.7,51.3,891,895.7,924,930.6,52.1,892,897.0,898,900.1,897,899.4,931,941.1
CA-HepTh,9877,25973,1388,1154,1234,1242.4,88.2,1155,1160.2,1237,1242.4,82.3,1157,1160.6,1179,1186.2,1182,1189.2,1314,1323.7
ego-facebook,4039,88234,530,477,466,470.5,51.3,463,464.7,467,473.2,54.9,460,466.7,478,482.8,478,481.9,560,567.9
socfb-Brandeis99,3898,137567,396,356,320,337.4,53.9,320,336.2,321,332.4,56.0,320,331.5,365,369.2,368,370.2,353,359.5
socfb-nips-ego,2888,2981,10,10,10,10.0,0.01,10,10.0,10,10.0,0.01,10,10.0,10,10.0,10,10.0,10,10.0
socfb-Mich67,3748,81903,206,177,166,168.1,26.1,165,168.0,164,167.9,34.8,164,167.9,177,179.3,177,179.3,253,261.2
